location,utility_name,facility_name,influent_2012_MG,facility_size_MGD,biogas_gen_value,biogas_gen_units
AlbuquerqueNM,Albuquerque Bernalillo County Water Utility Authority ,Southside Water Reclamation Plant,20655.69,56.43631148,NA,NA
AlexandriaVA,Alexandria Sewer,Not listed,12180.388,33.27974863,137991.3782,MSCF
BakersfieldCA,Not listed,Plant 2 - name not listed,4989.948,13.6337377,59659000,scf
BaltimoreMD,Baltimore City Department of Public Works,Back River WWTP,48275.4,131.9,4021242,MSCF
BoiseID,City of Boise,West Boise,5515.83,15.07057377,86030950,scf
BoiseID,City of Boise,Lander St,4564.37,12.47095628,49347000,scf
BuffaloNY,Buffalo Sewer Authority,Not listed,41314,112.8797814,174134200,scf
ChicagoIL,Metropolitan Water Reclamation District of Greater Chicago,Hanover,2921.9,7.983333333,111328,therms
ChicagoIL,Metropolitan Water Reclamation District of Greater Chicago,Egan,8681.8,23.72076503,457588,therms
ChicagoIL,Metropolitan Water Reclamation District of Greater Chicago,Stickney,224980,614.6994536,1093162,therms
DenverCO,Metro Wastewater Reclamation District,R.W. Hite Facility,45980.60147,125.6300587,968752.8195,MSCF
DuluthMN,Western Lake Superior Sanitary District,Western Lake Superior Sanitary District Wastewater Treatment Facility,13070.65,35.71215847,206329392,scf
ElPasoTX,El Paso Water Utilities,RBWWTP,10486.9,28.65273224,121391220,scf
ElPasoTX,El Paso Water Utilities,HSWWTP,6945.31,18.97625683,78667674,scf
ElPasoTX,El Paso Water Utilities,FHWRP,2321.32,6.342404372,29680770,scf
EugeneOR,Eugene Water & Electric Board,Water Pollution Control Facility,15202.37097,41.5365327,159260997.6,scf
FargoND,City of Fargo Water Reclamation,Fargo Regional Wastewater Reclamation Facility,4388.575,11.99064208,51331878,scf
FortWorthTX,Forth Worth Water Department,Villlage Creek Water Reclamation Facility,17185.4,46.95464481,284977.5,MSCF
GreenvilleSC,Greenville Water,Durbin WWTP,549.65,1.501775956,3709528,scf
GreenvilleSC,Greenville Water,Gilder WWTP,1374.44,3.755300546,22284115,scf
GreenvilleSC,Greenville Water,Lower Reedy WWTP,1932.74,5.280710383,38351800,scf
HonoluluHI,Board of Water Supply,Honouliuli Water Recycling Facility,,NA,12294363,scf
LasVegasNV,LVVWD,Bonanza/Mojave Water Resource Center,14426.1,39.41557377,236718970,scf
LincolnNE,Lincoln Wastewater System,Theresa Street WWTF,8699.58972,23.76937082,133967709.4,scf
LincolnNE,Lincoln Wastewater System,Northeast WWTF,823.028732,2.248712383,6468208.7,scf
LouisvilleKY,Louisville Water Company,Morris Forman WWTP,38173.98,104.3004918,415332388.1,scf
MadisonWI,Madison Metropolitan Sewage District,Nine Springs Wastewater Treatment PLant,13410.743,36.64137432,331468584.2,scf
MadisonWI,Madison Metropolitan Sewerage District,Nine Springs Wastewater Treatment Plant,13420,36.66666667,331.36,MMSCF
MemphisTN,"Memphis Light, Gas, and Water",MC Stiles WWTP,29126.9,79.58169399,338700000,scf
MemphisTN,"Memphis Light, Gas, and Water",TE Maxson WWTP,24848.8,67.89289617,1085100000,scf
MilwaukeeWI,Milwaukee Metropolitan Sewerage District,South Shore WRF,57285,156.5163934,128009,DTherms
NashvilleTN,Metro Water Services,Nashville Central Wastewater Treatment Plant,,NA,125360687,scf
OaklandCA,East Bay Municipal Utilities District,EBMUD Main WWTP,25594,69.92896175,1072223,MSCF
OmahaNE,Metropolitan Utilities District,Papillion Creek WWTP,29658.69,81.03467213,132.875,MMSCF
PeoriaIL,Greater Peoria Sanitary and Sewage Disposal District,Beardsley Water Reclamation Facility,25594,69.92896175,100610,MSCF
ProvoUT,Not reported,Not reported,4693.95,12.825,47796306,scf
RenoNV,Public Works Department,TMWRF,9780.04,26.72142077,260120703.4,scf
SacramentoCA,Not reported,Sacramento Regional Wastewater Treatment Plant,52532.4,143.5311475,2000,scfm
SaltLakeCityUT,Salt Lake City Corporation,Salt Lake City Water Reclamation Plant,11125.17,30.39663934,109251549,scf
SanDiegoCA,San Diego Public Utilities,Point Loma Wastewater Treatment Plant,53795.15,146.9812842,230512.4,MSCF
SanJoseCA,San Jose water co,could not find,39234.03999,107.1968306,3091256,therms
SantaFeNM,Wastewater Management Division,Santa Fe Wastewater Treatment Plant,2114.1046,5.776242077,22684790,scf
SeattleWA,Seattle Public Utilities,West Point Treatment Plant,37403.85,102.1963115,525983532,scf
SpokaneWA,City of Spokane Water Department,Riverside Park Water Reclamation Facility,12352.05,33.74877049,1377065.72,therms
SyracuseNY,Onondaga County Water Environment Protection,Metro WWTP,20935.6,57.2010929,198866597,scf
SyracuseNY,Onondaga County Water Environment Protection,Wetzel Road WWTP,864.41,2.361775956,12270048,scf
TampaFL,The City of Tampa's Wastewater Department,Not specified - looked up and found Howard F. Curren Advanced Wastewater Treatment Plant (AWTP),21818,59.61202186,222437605,scf
ToledoOH,Not specified,Toledo Bay View,1247.2,3.407650273,73200000,scf
TucsonAZ,Pima County Regional Wastewater Reclamation Department,Tres Rios,8220.6,22.46065574,45950,MMBTU
TucsonAZ,Pima County Regional Wastewater Reclamation Department,Roger Road,12110.7,33.08934426,12110.7,MMBTU